,0,1,2,3,awair_device_uuid,awair_mac_address,description,details,device_class,device_id,facilities_tag,gateway_id,location_general,location_specific,receiver,time,value
5494,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:00:07-05:00,495.0
5495,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:00:17-05:00,496.0
5496,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:00:27-05:00,497.0
5497,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:00:37-05:00,499.0
5498,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:00:47-05:00,503.0
5499,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:00:57-05:00,515.0
5500,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:01:07-05:00,521.0
5501,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:01:17-05:00,525.0
5502,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:01:27-05:00,527.0
5503,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:01:37-05:00,530.0
5504,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:01:47-05:00,532.0
5505,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:01:57-05:00,535.0
5506,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:02:07-05:00,537.0
5507,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:02:17-05:00,540.0
5508,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:02:27-05:00,544.0
5509,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:02:37-05:00,547.0
5510,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:02:47-05:00,550.0
5511,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:02:57-05:00,554.0
5512,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:03:07-05:00,557.0
5513,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:03:17-05:00,560.0
5514,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:03:27-05:00,563.0
