,awair_device_uuid,controller_id,description,details,device_class,device_id,gateway_address,gateway_id,handler_id,location_general,location_specific,receiver,time,value
22033,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:30:01-05:00,102.5
22034,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:30:11-05:00,104.7
22035,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:30:21-05:00,107.2
22036,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:30:31-05:00,107.5
22037,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:30:42-05:00,107.8
22038,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:30:52-05:00,108.9
22039,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:31:02-05:00,109.7
22040,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:31:12-05:00,109.7
22041,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:31:22-05:00,109.8
22042,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:31:32-05:00,110.3
22043,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:31:42-05:00,110.4
22044,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:31:52-05:00,110.8
22045,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:32:02-05:00,110.8
22046,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:32:12-05:00,111.5
22047,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:32:22-05:00,110.9
22048,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:32:32-05:00,111.6
22049,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:32:42-05:00,112.0
22050,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:32:52-05:00,112.4
22051,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:33:02-05:00,112.7
22052,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:33:12-05:00,113.1
22053,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:33:22-05:00,113.4
22054,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:33:32-05:00,113.4
22055,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:33:42-05:00,113.6
22056,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:33:52-05:00,114.2
22057,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:34:02-05:00,112.4
22058,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:34:12-05:00,113.9
22059,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:34:22-05:00,114.2
22060,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:34:32-05:00,114.3
22061,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:34:42-05:00,114.2
22062,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:34:52-05:00,114.1
22063,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:35:02-05:00,114.1
22064,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:35:12-05:00,115.1
22065,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:35:22-05:00,115.2
22066,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:35:32-05:00,114.8
22067,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:35:42-05:00,115.7
22068,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:35:52-05:00,115.8
22069,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:36:03-05:00,116.4
22070,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:36:13-05:00,116.1
22071,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:36:23-05:00,116.6
